,records-count-all,records-count-wo-outliers,entities-count,entities-with-later-severe-debt,sociodemographic-age-mean,sociodemographic-age-stddev,sociodemographic-age-skewness,sociodemographic-m-w-ratio,sociodemographic-unknown-gender-ratio,amount-mean,amount-stddev,amount-count-unknown,amount-count-too-high,payment-days-diff-mean,payment-days-diff-stddev,payment-delayed-days-mean,payment-delayed-days-stddev,payment-delayed-days-count,payment-prepaid-days-mean,payment-prepaid-days-stddev,payment-prepaid-days-count,payment-on-time-count
Enforeca,19,19,19,0,49.45454545454545,11.048353529032248,-0.501925877994627,2.75,0.21052631578947367,528.1578947368421,130.70266101180906,0,0,8.842105263157896,24.066275066321897,22.181818181818183,23.582806455775753,11,-9.5,5.454356057317857,8,0
Enperde,35637,35572,23645,474,35.012278957153356,12.070491560710918,0.66379061008858,0.7110417875798026,0.0025375343624444912,160.11420377867745,129.05137622855787,0,0,0.06555717980434049,14.540048031470503,9.179775280898877,22.2941083127028,11748,-4.989454768997967,2.7935425373445115,21147,2677
Ensenmu,25023,25015,7434,12,38.54907199100113,6.57374530787207,0.38776555397554124,0.0464326160815402,0.005649717514124294,207.1246501958903,169.00959001896098,0,0,-5.232780331800919,12.806987524295026,5.703464629166118,12.528536778640996,7591,-10.863299033364514,9.53269316326079,16035,1389
Ernpaue,154896,154896,52845,1521,57.31246694740965,15.785017742452064,0.39990242965853434,0.43464043382292833,0.003746806698836219,107.07893139824654,99.42936848262501,0,2,-7.559801415143064,15.080932899044644,13.067457464653726,17.143840801640437,33384,-13.605117916941778,7.532106404970085,118134,3378
Esnyture,7140,7140,6397,169,35.83148772267694,9.623343520240548,0.3981451680092541,0.3829833297250487,0.0014069094888228856,162.74607843137255,176.07790111348916,0,0,-17.505042016806723,9.755619069521273,2.6979166666666665,1.5884989748361678,96,-18.84233488791936,8.729807166668932,6647,397
Estdiso,83505,83505,38490,1259,36.17949537740122,10.905185651114346,0.29155811548025506,0.5741501067498769,0.003897116134060795,110.0442994011976,63.05758580363994,0,0,-11.818897072031614,11.047355854592777,18.263355201499532,30.76851216251994,3201,-13.512893760583225,6.85122128355207,77363,2941
Estry,36659549,36659140,1499224,34891,40.16028830839886,14.302200472481674,0.9201582884899479,1.1135970814096467,0.027738349973052728,65.68686359349213,59.69442758393995,0,1,-1.122091489325718,8.663861551542519,4.687816686278141,8.712090804590865,15332011,-7.3006760301183675,5.523213905451444,15479192,5847937
Everna,3913966,3884437,1488980,31175,41.602085025815924,15.371883060013168,0.5595986511367954,0.7262030309224708,0.0018354846942202044,237.8350946252449,396.2460925732415,0,115,6.015259354186977,45.00971646538485,41.60437497049092,57.77434480562533,1376695,-16.384452409160044,15.167492935580809,2069684,438058
Evmempe,19066,18913,2104,40,53.76822716807368,13.486128987267296,-0.2396368027458098,1.9884393063583814,0.26283269961977185,519.5763215099942,865.6292203709523,0,50,-3.7724316607624386,33.467603777537825,32.41236240474174,50.459368883649674,4724,-16.332969511751436,7.611598262512974,13743,446
Finevofi,8178,8178,6372,137,35.1058149058149,9.320375147294076,0.11864489232881863,0.064343163538874,0.003138731952291274,,,0,0,7.010149180728784,12.421414295118561,13.867020191719355,11.691835631299696,4903,-3.6224940536867143,2.01991367935636,2943,332
Fiverfer,1514,1514,1225,2,50.61244813278008,12.231176180978318,0.13183099555770672,0.8023598820058997,0.0024489795918367346,102.68097754293262,58.87928963387259,0,0,-0.9848084544253632,5.406992548944438,3.855045871559633,4.260668988228679,545,-4.3225030084235865,3.833409593822476,831,138
Folcafol,784,784,114,2,53.333333333333336,11.549410759380276,0.5483685241854861,25.666666666666668,0.2982456140350877,2973.7305151915457,2232.7085608889283,0,25,10.584183673469388,21.82439317825165,21.893617021276597,21.07467376144171,470,-7.243636363636363,6.819404496431519,275,39
Foresecu,1,1,1,0,52.0,0.0,0.0,,,394.0,0.0,0,0,-3.0,0.0,,,0,-3.0,0.0,1,0
Ganpe,14364531,14364531,931189,35404,56.64542571779882,15.255427644667492,-0.15434338106045914,0.20228101235419224,0.0001621582729177428,109.55090325499289,100.19654350704452,0,35,0.0,0.0,,,0,,,0,14364531
Ganrehap,6016,5994,4299,49,37.170998299732815,12.752303055814943,1.3465017436127338,0.24701079031787693,0.005350081414282391,229.5306973640307,132.79706272535793,0,0,1.7802802802802802,18.782013618275293,9.155721588674794,26.96764299815043,2543,-4.188641647293258,2.449005080951965,3011,440
Imtencee,10,10,10,4,50.5,16.537835408541227,1.300049218587336,,0.2,1047.5,846.812169255969,0,0,54.0,58.53887597144312,77.14285714285714,55.76847181857857,7,,,0,3
Ingotho,726917,726792,81136,346,38.493197278911566,12.781330026274214,1.6033696991458861,0.41682863907834755,0.011733385919936896,172.34552391907678,198.57730182622498,0,0,-10.39377566071173,14.67183988515418,6.2957687445030786,13.95381584762726,145536,-15.217680475158728,11.370362513020407,556614,24642
Ipoapfi,376187,372141,215086,5693,34.205127458827526,12.692745737994631,1.0403680757032046,0.35033494685426203,2.789581841681932e-05,70.81492967284571,67.1141198021819,0,0,-2.617986193405188,48.966640898555475,36.65249628767508,81.54646943096759,99668,-17.15876341414576,8.344095372734275,269678,2795
Lartween,9612,9612,4536,121,46.35521140609636,12.00474872770304,0.02958924123723198,0.38854489164086686,0.011243386243386243,205.40303786933,261.1163509112397,0,0,-8.296712442779858,22.593380865601283,24.389984825493173,28.961264501525772,1977,-17.15605309022657,8.496810235646317,7459,176
Latween,246791,246652,25230,339,54.0729416903254,14.426017764069508,0.2130138573639562,2.2561039642950904,0.016845025762980578,831.7481269650144,1416.0965438782966,0,7447,-14.471473979533918,27.713502723085355,26.515609842137756,34.710074416367426,45356,-24.115563236862187,14.124648107701605,197883,3413
