"liability_owner","legal_entity_id","info_type","credit_status","valid_from","valid_to"
2053050,2053050,"CC","2",2003-07-08,2006-07-08
3417454,3417454,"CC","3",2002-05-22,2007-05-22
9696030,9696030,"CC","1",2004-05-18,2007-05-18
7062725,7062725,"CC","4",1995-05-01,2015-05-01
8265844,8265844,"CC","4",2001-03-13,2011-03-13
9696030,9696030,"CC","1",2004-02-23,2007-02-23
9696030,9696030,"CC","4",2004-02-23,2024-02-23
9696030,9696030,"CC","4",2004-02-23,2024-02-23
13992527,13992527,"CC","1",1996-03-29,1999-03-29
4205225,4205225,"CC","1",2003-03-31,2006-03-31
5338227,5338227,"CC","3",1998-01-15,2003-01-15
11841120,11841120,"CC","2",2003-08-28,2008-08-28
1636569,1636569,"CC","1",2003-09-17,2006-09-17
19073528,19073528,"CC","4",2003-08-06,2006-08-06
19126115,19126115,"CC","1",2004-05-04,2007-05-04
14234805,14234805,"CC","2",2004-10-07,2009-10-07
10317261,10317261,"CC","2",2003-07-23,2008-07-23
8543410,8543410,"CC","2",2005-05-17,2010-05-17
8543410,8543410,"CC","4",2009-12-31,2012-12-31
18484612,18484612,"CC","4",2004-10-06,2007-10-06
7062725,7062725,"CC","4",2017-01-10,2020-01-10
7062725,7062725,"CC","3",2007-12-30,2012-12-30
8265844,8265844,"CC","4",2006-04-06,2009-04-06
19126115,19126115,"CC","1",2002-02-26,2007-02-26
19294997,19294997,"CC","1",2008-05-30,2011-05-30
13654847,13654847,"CC","4",2005-01-29,2015-01-29
4642272,4642272,"CC","1",2009-01-12,2012-01-12
5347438,5347438,"CC","1",2007-10-01,2010-10-01
2638935,2638935,"CC","1",2000-02-25,2003-02-25
1779935,1779935,"CC","3",2004-10-23,2009-10-23
12653318,12653318,"CC","1",2004-02-24,2007-02-24
12653318,12653318,"CC","4",2003-04-16,2006-04-16
12653318,12653318,"CC","4",2006-12-13,2026-12-13
15645295,15645295,"CC","4",2004-11-22,2024-11-22
12947635,12947635,"CC","1",2005-11-21,2008-11-21
13992527,13992527,"CC","4",1994-12-19,2014-12-19
5338227,5338227,"CC","2",2002-12-30,2007-12-30
12913420,12913420,"CC","1",2002-07-16,2005-07-16
7447391,7447391,"CC","1",2005-08-15,2008-08-15
19294997,19294997,"CC","1",2010-08-16,2013-08-16
7062725,7062725,"CC","1",2012-04-25,2015-04-25
15911905,15911905,"CC","1",2009-04-30,2012-04-30
15337171,15337171,"CC","4",2004-05-25,2007-05-25
18484612,18484612,"CC","4",2003-09-05,2023-09-05
5399673,5399673,"CC","0",2010-11-30,2013-11-30
11610526,11610526,"CC","1",2001-12-08,2004-12-08
9437190,9437190,"CC","1",2007-09-14,2010-09-14
2638935,2638935,"CC","1",2005-11-30,2008-11-30
12947635,12947635,"CC","4",2005-12-23,2008-12-23
4461364,4461364,"CC","1",2000-10-20,2003-10-20
1730024,1730024,"CC","4",2001-09-04,2021-09-04
4642272,4642272,"CC","1",2002-04-24,2005-04-24
6091833,6091833,"CC","1",2003-08-28,2006-08-28
13602342,13602342,"CC","4",1999-08-17,2002-08-17
17726481,17726481,"CC","0",2003-01-01,2006-01-01
13602342,13602342,"CC","4",2004-06-15,2007-06-15
5245446,5245446,"CC","1",2006-07-27,2009-07-27
13602342,13602342,"CC","2",1998-07-08,2001-07-08
7062725,7062725,"CC","1",2015-01-07,2018-01-07
5454084,5454084,"CC","1",2007-06-26,2010-06-26
13654847,13654847,"CC","4",2005-06-20,2025-06-20
7062725,7062725,"CC","4",2006-11-13,2009-11-13
7062725,7062725,"CC","3",2001-05-14,2006-05-14
6872669,6872669,"CC","1",2003-03-12,2008-03-12
7062725,7062725,"CC","2",2005-05-04,2010-05-04
9978239,9978239,"CC","1",2004-03-26,2007-03-26
13980567,13980567,"CC","1",2008-05-19,2011-05-19
19073528,19073528,"CC","1",2006-10-09,2009-10-09
13654847,13654847,"CC","1",2005-08-10,2008-08-10
4642272,4642272,"CC","2",2002-04-05,2005-04-05
5453542,5453542,"CC","4",2007-01-30,2010-01-30
9978239,9978239,"CC","1",2006-09-26,2009-09-26
8898498,8898498,"CC","1",2007-08-06,2010-08-06
10950330,10950330,"CC","1",2007-08-03,2010-08-03
9437190,9437190,"CC","1",2007-10-15,2010-10-15
11231069,11231069,"CC","1",2009-06-30,2012-06-30
624927,624927,"CC","1",2009-03-31,2012-03-31
13654847,13654847,"CC","1",2002-06-10,2005-06-10
12477386,12477386,"CC","1",2005-01-31,2008-01-31
6257900,6257900,"CC","1",2000-11-06,2003-11-06
11573797,11573797,"CC","4",2015-09-28,2018-09-28
7510499,7510499,"CC","1",2006-01-11,2009-01-11
14234805,14234805,"CC","1",2008-11-04,2011-11-04
10075417,10075417,"CC","1",2008-11-07,2011-11-07
19073528,19073528,"CC","1",2007-01-12,2010-01-12
3441587,3441587,"CC","1",2003-04-10,2006-04-10
15337171,15337171,"CC","4",2008-12-22,2028-12-22
13654847,13654847,"CC","4",2022-01-10,2042-01-10
6924887,6924887,"CC","1",2012-05-31,2015-05-31
9978239,9978239,"CC","1",2007-03-26,2010-03-26
16250422,16250422,"CC","1",2006-03-16,2009-03-16
10274399,10274399,"CC","4",2007-04-11,2027-04-11
10956998,10956998,"CC","1",2007-06-21,2007-06-21
2276447,2276447,"CC","1",2008-10-16,2011-10-16
19104656,19104656,"CC","2",2009-05-27,2014-05-27
14630692,14630692,"CC","4",2008-03-13,2028-03-13
9978239,9978239,"CC","1",2010-01-25,2013-01-25
10075417,10075417,"CC","1",2008-03-31,2011-03-31
10075417,10075417,"CC","4",2009-10-07,2019-10-07
12653318,12653318,"CC","1",2006-12-13,2009-12-13
12653318,12653318,"CC","1",2006-12-13,2009-12-13
14994169,14994169,"CC","1",2011-04-18,2014-04-18
9978239,9978239,"CC","1",2010-06-29,2013-06-29
9978239,9978239,"CC","1",2010-03-08,2013-03-08
2184701,2184701,"CC","1",2012-12-19,2015-12-19
